"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C3","1","0.1uFC","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4","1","22uFC","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5","1","2.2uFC","","","","Capacitor_SMD:C_0805_2012Metric",""
"C6","1","10uFC","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","D","","","","Diode_SMD:D_0805_2012Metric",""
"FB1,FB2,FB3,FB4","4","FerriteBead","","","","Capacitor_SMD:C_0805_2012Metric",""
"J1","1","Conn_01x03","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J2","1","24V input","","","","TB006:CUI_TB006-508-02BE",""
"J3,J4","2","SM04B-SRSS-TB_LF__SN_","","","","SM04B:JST_SM04B-SRSS-TB_LF__SN_",""
"J5","1","Conn_01x10","","","","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"J8","1","Drum Connector","","","","TB006:CUI_TB006-508-02BE",""
"J12,J13","2","TB006-508-02BE","","","","TB006:CUI_TB006-508-02BE",""
"L1","1","68uH L","","","","Inductor_SMD:L_0805_2012Metric",""
"Q1,Q2","2","BSS138","","","","Package_TO_SOT_SMD:SOT-23-3","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R1,R2,R4,R5","4","10KR","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","1","30kR","","","","Resistor_SMD:R_0805_2012Metric",""
"R6,R7,R8,R9","4","100R","","","","Resistor_SMD:R_0805_2012Metric",""
"RV1,RV2","2","20KR_Potentiometer","","","","Potentiometer_THT:Potentiometer_Bourns_3296Y_Vertical",""
"U1","1","MCP9600-E_MX 0x60","","","","MCP9600:QFN65P500X500X100-21N_MCP9600-E_MX",""
"U2","1","MCP9600-E_MX 0x67","","","","MCP9600:QFN65P500X500X100-21N_MCP9600-E_MX",""
"U3","1","XIAO-ESP32-C3-SMD","","","","XIAO_SERIES:XIAO-ESP32-C3-SMD",""
"U4","1","DRV8871DDA","","","","DRV8871:VREG_LM5017MR_NOPB","http://www.ti.com/lit/ds/symlink/drv8871.pdf"
"U5","1","R-78E5.0-1.0","","","","Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT","https://www.recom-power.com/pdf/Innoline/R-78Exx-1.0.pdf"
