Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",35.542500,-41.090000,-90.000000,top
"C2","0.1uF","C_0805_2012Metric",35.000000,-54.500000,-90.000000,top
"C3","0.1uFC","C_0805_2012Metric",64.300000,-61.950000,-90.000000,top
"C4","22uFC","C_0805_2012Metric",68.800000,-61.950000,-90.000000,top
"C5","2.2uFC","C_0805_2012Metric",56.550000,-49.000000,180.000000,top
"C6","10uFC","C_0805_2012Metric",56.500000,-41.050000,0.000000,top
"D1","D","D_0805_2012Metric",81.500000,-19.062500,-90.000000,top
"FB1","FerriteBead","C_0805_2012Metric",26.042500,-38.590000,90.000000,top
"FB2","FerriteBead","C_0805_2012Metric",26.042500,-43.590000,90.000000,top
"FB3","FerriteBead","C_0805_2012Metric",26.042500,-51.590000,90.000000,top
"FB4","FerriteBead","C_0805_2012Metric",26.042500,-56.590000,90.000000,top
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",34.540000,-63.000000,-90.000000,top
"J2","24V input","CUI_TB006-508-02BE",77.750000,-47.500000,90.000000,top
"J3","SM04B-SRSS-TB_LF__SN_","JST_SM04B-SRSS-TB_LF__SN_",19.000000,-18.500000,-90.000000,top
"J4","SM04B-SRSS-TB_LF__SN_","JST_SM04B-SRSS-TB_LF__SN_",19.000000,-28.500000,-90.000000,top
"J5","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",48.705000,-16.295000,-90.000000,top
"J8","Drum Connector","CUI_TB006-508-02BE",77.750000,-61.500000,90.000000,top
"J12","TB006-508-02BE","CUI_TB006-508-02BE",17.962500,-44.540000,90.000000,top
"J13","TB006-508-02BE","CUI_TB006-508-02BE",18.042500,-57.540000,90.000000,top
"L1","68uH L","L_0805_2012Metric",56.437500,-45.000000,0.000000,top
"Q1","BSS138","SOT-23-3",52.362500,-32.000000,180.000000,top
"Q2","BSS138","SOT-23-3",47.000000,-27.000000,180.000000,top
"R1","10KR","R_0805_2012Metric",52.587500,-27.000000,0.000000,top
"R2","10KR","R_0805_2012Metric",47.087500,-22.000000,0.000000,top
"R3","30kR","R_0805_2012Metric",59.800000,-61.987500,-90.000000,top
"R4","10KR","R_0805_2012Metric",52.587500,-37.000000,180.000000,top
"R5","10KR","R_0805_2012Metric",47.087500,-32.000000,180.000000,top
"R6","100R","R_0805_2012Metric",31.042500,-38.627500,-90.000000,top
"R7","100R","R_0805_2012Metric",31.042500,-43.627500,-90.000000,top
"R8","100R","R_0805_2012Metric",31.042500,-51.627500,-90.000000,top
"R9","100R","R_0805_2012Metric",31.042500,-56.540000,-90.000000,top
"RV1","20KR_Potentiometer","Potentiometer_Bourns_3296Y_Vertical",40.000000,-29.000000,-90.000000,top
"RV2","20KR_Potentiometer","Potentiometer_Bourns_3296Y_Vertical",32.000000,-29.000000,-90.000000,top
"U1","MCP9600-E_MX 0x60","QFN65P500X500X100-21N_MCP9600-E_MX",41.542500,-41.040000,0.000000,top
"U2","MCP9600-E_MX 0x67","QFN65P500X500X100-21N_MCP9600-E_MX",41.542500,-54.040000,0.000000,top
"U3","XIAO-ESP32-C3-SMD","XIAO-ESP32-C3-SMD",60.500000,-36.052000,0.000000,top
"U4","DRV8871DDA","VREG_LM5017MR_NOPB",66.300000,-55.500000,0.000000,top
"U5","R-78E5.0-1.0","Converter_DCDC_RECOM_R-78E-0.5_THT",63.420000,-46.500000,0.000000,top
